Site Name,Site Address,Site City,Site Telephone Number,Site Web Address,County Equivalent Name,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,lon,lat,popup
Western Maine Family Health Center,16 Depot St STE 300,Livermore Falls,207-897-4345,www.healthreachchc.org,Androscoggin,-70.18889202,44.47266758,-70.18889202,44.47266758,"<b> Western Maine Family Health Center </b> <br> Address:  16 Depot St STE 300 ,  Livermore Falls ,  Androscoggin  County <br> Phone Number:  207-897-4345 <br> Website:  www.healthreachchc.org"
Bolduc Avenue Health Center,12 Bolduc Ave,Fort Kent,207-834-3971,www.frrh.org,Aroostook,-68.58968541,47.26469089,-68.58968541,47.26469089,"<b> Bolduc Avenue Health Center </b> <br> Address:  12 Bolduc Ave ,  Fort Kent ,  Aroostook  County <br> Phone Number:  207-834-3971 <br> Website:  www.frrh.org"
CCS Family Health Center,100 Campus Ave,Lewiston,207-755-3445,www.communityclinicalservices.com,Androscoggin,-70.19933302,44.1024854,-70.19933302,44.1024854,"<b> CCS Family Health Center </b> <br> Address:  100 Campus Ave ,  Lewiston ,  Androscoggin  County <br> Phone Number:  207-755-3445 <br> Website:  www.communityclinicalservices.com"
Ashland District School,180 Presque Isle Rd,Ashland,207-538-3700,www.kvhc.org,Aroostook,-68.39368441,46.62703827,-68.39368441,46.62703827,"<b> Ashland District School </b> <br> Address:  180 Presque Isle Rd ,  Ashland ,  Aroostook  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
COLONIAL ACRES NURSING HOME,Workman Ter,Lincoln,207-794-6700,www.hanfqhc.org,Penobscot,-68.50305365,45.35507838,-68.50305365,45.35507838,"<b> COLONIAL ACRES NURSING HOME </b> <br> Address:  Workman Ter ,  Lincoln ,  Penobscot  County <br> Phone Number:  207-794-6700 <br> Website:  www.hanfqhc.org"
CCS Pediatrics,330 Sabattus St STE B,Lewiston,207-755-3160 x20751,www.communityclinicalservices.com,Androscoggin,-70.19994113,44.10072306,-70.19994113,44.10072306,"<b> CCS Pediatrics </b> <br> Address:  330 Sabattus St STE B ,  Lewiston ,  Androscoggin  County <br> Phone Number:  207-755-3160 x20751 <br> Website:  www.communityclinicalservices.com"
MADISON AREA HEALTH CENTER,8 S Main St,Madison,207-696-3992,www.healthreachchc.org,Somerset,-69.86872846,44.79847643,-69.86872846,44.79847643,"<b> MADISON AREA HEALTH CENTER </b> <br> Address:  8 S Main St ,  Madison ,  Somerset  County <br> Phone Number:  207-696-3992 <br> Website:  www.healthreachchc.org"
STILLWATER HEALTH CARE,335 Stillwater Ave,Bangor,207-947-1111,NA,Penobscot,-68.75964668,44.82224541,-68.75964668,44.82224541,"<b> STILLWATER HEALTH CARE </b> <br> Address:  335 Stillwater Ave ,  Bangor ,  Penobscot  County <br> Phone Number:  207-947-1111 <br> Website:  NA"
HAN Lee School Based Community Health Center,Winn Rd,Lee,207-794-6700,www.hanfqhc.org,Penobscot,-68.29436727,45.38946911,-68.29436727,45.38946911,"<b> HAN Lee School Based Community Health Center </b> <br> Address:  Winn Rd ,  Lee ,  Penobscot  County <br> Phone Number:  207-794-6700 <br> Website:  www.hanfqhc.org"
KVHC Stearns Jr./Sr. High School,199 State St,Millinocket,207-538-3700,www.kvhc.org,Penobscot,-68.70595666,45.66125301,-68.70595666,45.66125301,"<b> KVHC Stearns Jr./Sr. High School </b> <br> Address:  199 State St ,  Millinocket ,  Penobscot  County <br> Phone Number:  207-538-3700 <br> Website:  www.kvhc.org"
Miles Lane School,52 Miles Ln,Bucksport,207-469-6666,NA,Hancock,-68.77989812,44.57907165,-68.77989812,44.57907165,"<b> Miles Lane School </b> <br> Address:  52 Miles Ln ,  Bucksport ,  Hancock  County <br> Phone Number:  207-469-6666 <br> Website:  NA"
ORONO COMMONS,117 Bennoch Rd,Orono,207-866-4914,NA,Penobscot,-68.67938384,44.89401601,-68.67938384,44.89401601,"<b> ORONO COMMONS </b> <br> Address:  117 Bennoch Rd ,  Orono ,  Penobscot  County <br> Phone Number:  207-866-4914 <br> Website:  NA"
Greater Portland Health at South Portland High School,637 Highland Ave,South Portland,207-874-2141,NA,Cumberland,-70.26834626,43.62074217,-70.26834626,43.62074217,"<b> Greater Portland Health at South Portland High School </b> <br> Address:  637 Highland Ave ,  South Portland ,  Cumberland  County <br> Phone Number:  207-874-2141 <br> Website:  NA"
BREWER HIGH SCHOOL CLINIC,79 Parkway S,Brewer,207-992-2456,NA,Penobscot,-68.75546638,44.78180747,-68.75546638,44.78180747,"<b> BREWER HIGH SCHOOL CLINIC </b> <br> Address:  79 Parkway S ,  Brewer ,  Penobscot  County <br> Phone Number:  207-992-2456 <br> Website:  NA"
Eastport Health Care Calais,10 Palmer St,Calais,207-454-8300,http://www.eastporthealth.org,Washington,-67.26946316,45.18080936,-67.26946316,45.18080936,"<b> Eastport Health Care Calais </b> <br> Address:  10 Palmer St ,  Calais ,  Washington  County <br> Phone Number:  207-454-8300 <br> Website:  http://www.eastporthealth.org"
THE MEADOWS,101 Perkins Ave,Old Town,207-827-0547,NA,Penobscot,-68.6516745,44.92869799,-68.6516745,44.92869799,"<b> THE MEADOWS </b> <br> Address:  101 Perkins Ave ,  Old Town ,  Penobscot  County <br> Phone Number:  207-827-0547 <br> Website:  NA"
HELEN HUNT HEALTH CENTER,242 Brunswick St,Old Town,207-827-6128,NA,Penobscot,-68.64660549,44.93265515,-68.64660549,44.93265515,"<b> HELEN HUNT HEALTH CENTER </b> <br> Address:  242 Brunswick St ,  Old Town ,  Penobscot  County <br> Phone Number:  207-827-6128 <br> Website:  NA"
EAST MACHIAS,893 Main St,East Machias,207-255-0102,www.rmcl.org,Washington,-67.41457997,44.72283902,-67.41457997,44.72283902,"<b> EAST MACHIAS </b> <br> Address:  893 Main St ,  East Machias ,  Washington  County <br> Phone Number:  207-255-0102 <br> Website:  www.rmcl.org"
