Location,lyme,babesiosis,anaplasmosis,Population,COUNTY
Abbot,NA,0,0,3515,Piscataquis
Acton,101.3,7.8,124.7,12831,York
Addison,176.7,0,0,6224,Washington
Albion,308.3,19.3,38.5,10379,Kennebec
Alexander,NA,0,0,2380,Washington
Alfred,141.8,6.4,77.3,15519,York
Allagash,0,0,0,1069,Aroostook
Alna,470.4,NA,359.7,3614,Lincoln
Alton,NA,0,0,4485,Penobscot
Amherst,0,0,0,1392,Hancock
Amity,0,0,0,1102,Aroostook
Andover,0,0,0,4098,Oxford
Anson,90.7,0,16.5,12129,Somerset
Appleton,541.1,NA,292.5,6838,Knox
Argyle Twp,0,0,0,1383,Penobscot
Arrowsic,455.6,0,683.4,2195,Sagadahoc
Arundel,71.4,4.8,4.8,20995,York
Ashland,0,0,0,6123,Aroostook
Athens,159.6,NA,NA,5014,Somerset
Atkinson,0,0,0,1600,NA
Auburn,59.4,3.5,38.4,114438,Androscoggin
Augusta,133.2,7.6,33.6,92328,Kennebec
Aurora,0,0,0,583,Hancock
Avon,0,0,0,2254,Franklin
Baileyville,0,0,0,7187,Washington
Baldwin,225.3,NA,NA,7990,Cumberland
Bancroft Twp,0,0,0,318,Aroostook
Bangor,42.4,0.6,3.7,160360,Penobscot
Bar Harbor,357.2,22.6,86.5,26596,Hancock
Baring Plt,NA,0,0,1197,NA
Bath,81.4,12,38.3,41775,Sagadahoc
Beals,NA,0,0,2492,Washington
Beaver Cove,0,0,0,605,Piscataquis
Beddington,NA,NA,NA,235,Washington
Belfast,167.1,12.2,91.2,32908,Waldo
Belgrade,254.9,12.4,18.6,16086,Kennebec
Belmont,147,0,147,4761,Waldo
Benton,181.8,0,21.8,13748,Kennebec
Berwick,67.1,2.6,38.7,38744,York
Bethel,89.7,0,0,13373,Oxford
Biddeford,43.1,2.8,8.3,108967,York
Bingham,NA,0,0,4314,Somerset
Blaine,0,0,0,3471,Aroostook
Blanchard Twp,0,0,0,474,Piscataquis
Blue Hill,454.9,0,91,13190,Hancock
Boothbay,128.3,6.4,38.5,15591,Lincoln
Boothbay Harbor,143.4,0,0,10461,Lincoln
Bowdoin,213,6.3,81.4,15961,Sagadahoc
Bowdoinham,339.1,33.2,212.8,15040,Sagadahoc
Bowerbank,0,0,0,564,Piscataquis
Bradford,NA,NA,0,6469,Penobscot
Bradley,NA,0,NA,7383,Penobscot
Bremen,426.3,NA,250.8,3988,Lincoln
Brewer,75.1,2.2,8.8,45277,Penobscot
Bridgewater,0,0,0,2877,Aroostook
Bridgton,105.6,0,56.6,26506,Cumberland
Brighton Plt,0,0,0,333,NA
Bristol,352.7,44.1,345.4,13609,Lincoln
Brooklin,554.8,0,NA,4146,Hancock
Brooks,391,0,NA,5626,Waldo
Brooksville,433.9,0,NA,4609,Hancock
Brownfield,71.9,0,NA,8343,Oxford
Brownville,NA,0,0,5801,Piscataquis
Brunswick,97.9,7.7,46.1,104208,Cumberland
Buckfield,98,9.8,39.2,10205,Oxford
Bucksport,214.6,20.2,48.6,24694,Hancock
Burlington,0,0,0,1904,Penobscot
Burnham,217.5,0,NA,5976,Waldo
Buxton,132.5,7.2,31.3,41517,York
Byron,0,0,0,741,Oxford
Calais,40.8,0,0,14703,Washington
Cambridge,NA,0,0,2172,Somerset
Camden,274.3,25.7,107.1,23332,Knox
Canaan,162.1,0,45,11104,Somerset
Canton,NA,0,NA,4693,Oxford
Cape Elizabeth,114.9,8.7,4.3,46113,Cumberland
Caratunk,0,0,0,308,Somerset
Caribou,2.6,0,0,37981,Aroostook
Carmel,118.9,14,7,14292,Penobscot
Carrabassett Valley,NA,NA,0,3962,Franklin
Carroll Plt,0,0,0,769,NA
Carthage,NA,0,NA,2755,Franklin
Cary Plt,NA,0,0,1035,NA
Casco,137.8,0,40.8,19597,Cumberland
