"rank","NAME","pop2022","pop2010","growth","density","aland_sqmi"
"1","Portland","65645","66088","-0.0067","3043","21.5690"
"2","Lewiston","36501","36583","-0.0022","1069","34.1460"
"3","Bangor","32403","33024","-0.0188","946","34.2590"
"4","South Portland","25280","24994","0.0114","2095","12.0680"
"5","Auburn","23639","23054","0.0254","398","59.3360"
"6","Biddeford","21537","21269","0.0126","716","30.0850"
"7","Sanford","21469","20790","0.0327","449","47.7900"
"8","Saco","20849","18508","0.1265","542","38.4760"
"9","Westbrook","19362","17512","0.1056","1126","17.1890"
"10","Augusta","18844","19099","-0.0134","342","55.1470"
"11","Waterville","16486","15722","0.0486","1218","13.5320"
"12","Brunswick","14994","15175","-0.0119","1032","14.5240"
"13","Orono","9541","9474","0.0071","1355","7.0410"
"14","Brewer","8990","9470","-0.0507","590","15.2380"
"15","Presque Isle","8905","9666","-0.0787","118","75.7780"
"16","Old Orchard Beach","8862","8624","0.0276","1192","7.4340"
"17","Ellsworth","8687","7736","0.1229","110","79.2870"
"18","Bath","8368","8488","-0.0141","918","9.1190"
"19","Caribou","7509","8167","-0.0806","95","79.2910"
"20","Old Town","7395","7834","-0.0560","190","38.8240"
"21","Rockland","7177","7295","-0.0162","559","12.8420"
"22","Gorham","6759","6882","-0.0179","883","7.6570"
"23","Belfast","6640","6665","-0.0038","195","34.0400"
"24","Skowhegan","6313","6297","0.0025","472","13.3650"
"25","Topsham","6222","5931","0.0491","565","11.0220"
"26","North Windham","6131","4904","0.2502","938","6.5360"
"27","Kennebunk","5872","5214","0.1262","870","6.7480"
"28","Yarmouth","5681","5869","-0.0320","1084","5.2420"
"29","Gardiner","5626","5782","-0.0270","359","15.6750"
"30","Winslow","4928","7794","-0.3677","822","5.9940"
"31","Kittery","4829","4562","0.0585","1725","2.7990"
"33","Scarborough","4603","4403","0.0454","926","4.9730"
"32","Houlton","4603","4856","-0.0521","878","5.2410"
"34","Millinocket","4287","4466","-0.0401","756","5.6740"
"35","Farmington","4143","4288","-0.0338","1027","4.0350"
"36","Hampden","4122","4343","-0.0509","376","10.9620"
"37","Lisbon Falls","4019","4100","-0.0198","1095","3.6700"
"38","Rumford","3672","4218","-0.1294","467","7.8690"
"39","Camden","3468","3570","-0.0286","921","3.7650"
"40","South Eliot","3160","3550","-0.1099","439","7.1920"
"41","Lake Arrowhead","3067","3071","-0.0013","588","5.2140"
"42","Calais","3035","3120","-0.0272","88","34.3230"
"43","Fairfield","3027","2638","0.1475","1707","1.7730"
"44","Pittsfield","2958","3150","-0.0610","315","9.3980"
"45","Cumberland Center","2926","2499","0.1709","692","4.2300"
"46","Madawaska","2769","2967","-0.0667","523","5.2910"
"47","Dover-Foxcroft","2740","2528","0.0839","327","8.3810"
"48","Lincoln","2677","2884","-0.0718","360","7.4260"
"49","Norway","2641","2748","-0.0389","523","5.0460"
"50","Bucksport","2624","2885","-0.0905","230","11.4120"
"51","Bridgton","2542","2071","0.2274","344","7.3930"
"52","York Harbor","2522","3033","-0.1685","787","3.2060"
"53","Winthrop","2467","2650","-0.0691","446","5.5290"
"54","Madison","2433","2630","-0.0749","379","6.4270"
"55","Oakland","2389","2602","-0.0819","442","5.4060"
"56","Hallowell","2387","2373","0.0059","407","5.8690"
"57","Berwick","2354","2187","0.0764","1497","1.5730"
"58","South Paris","2319","2267","0.0229","598","3.8760"
